age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
41,0,5993,Célibataire,Commercial,Cadre Commercial,8,8,6,4,2,3,2,4,1,1,3,1,1,0,0,1,2,Infra & Cloud,1.5,0,5
49,1,5130,Marié(e),Consulting,Assistant de Direction,1,10,10,7,3,2,2,2,4,3,4,0,0,1,3,8,1,Infra & Cloud,2.0,1,7
37,1,2090,Célibataire,Consulting,Consultant,6,7,0,0,4,2,1,3,2,3,3,1,1,0,3,2,2,Autre,1.5,0,0
33,0,2909,Marié(e),Consulting,Assistant de Direction,1,8,8,7,4,3,1,3,3,3,3,1,0,0,3,3,4,Infra & Cloud,2.0,3,0
27,1,3468,Marié(e),Consulting,Consultant,9,6,2,2,1,3,1,2,4,3,3,0,0,1,3,2,1,Transformation Digitale,1.5,2,2
32,1,3068,Célibataire,Consulting,Consultant,0,8,7,7,4,3,1,4,3,2,3,0,0,0,2,2,2,Infra & Cloud,2.0,3,6
59,0,2670,Marié(e),Consulting,Consultant,4,12,1,0,3,4,1,1,1,2,4,1,0,3,3,3,3,Transformation Digitale,1.5,0,0
30,1,2693,Divorcé(e),Consulting,Consultant,1,1,1,0,4,3,1,3,2,3,4,0,0,1,2,24,1,Infra & Cloud,1.5,0,0
38,1,9526,Célibataire,Consulting,Tech Lead,0,10,9,7,4,2,3,3,2,3,4,0,0,0,2,23,3,Infra & Cloud,2.0,1,8
36,1,5237,Marié(e),Consulting,Manager,6,17,7,7,3,3,2,3,2,2,3,0,0,2,3,27,3,Transformation Digitale,1.5,7,7
35,1,2426,Marié(e),Consulting,Consultant,0,6,5,4,1,4,1,2,3,3,3,0,0,1,5,16,3,Transformation Digitale,1.5,0,3
29,0,4193,Célibataire,Consulting,Consultant,0,10,9,5,4,2,2,3,4,3,3,1,0,0,3,15,2,Infra & Cloud,1.5,0,8
31,1,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,5,2,1,3,1,3,4,2,3,0,0,1,1,26,1,Infra & Cloud,1.5,4,3
34,1,2661,Divorcé(e),Consulting,Consultant,0,3,2,2,2,3,1,4,3,3,3,0,0,1,2,19,2,Transformation Digitale,1.5,1,2
28,1,2028,Célibataire,Consulting,Consultant,5,6,4,2,3,2,1,3,2,3,3,1,1,0,4,24,3,Infra & Cloud,1.5,0,3
29,0,9980,Divorcé(e),Consulting,Tech Lead,1,10,10,9,2,4,3,1,3,3,3,0,0,1,1,21,4,Infra & Cloud,1.5,8,8
32,1,3298,Divorcé(e),Consulting,Assistant de Direction,0,7,6,2,1,4,1,2,4,2,3,1,0,2,5,5,2,Infra & Cloud,1.5,0,5
22,1,2935,Divorcé(e),Consulting,Consultant,1,1,1,0,4,4,1,4,2,2,3,1,0,2,2,16,2,Transformation Digitale,1.0,0,0
53,0,15427,Marié(e),Commercial,Senior Manager,2,31,25,8,1,2,4,4,3,3,3,0,0,0,3,2,4,Infra & Cloud,1.5,3,7
38,1,3944,Célibataire,Consulting,Assistant de Direction,5,6,3,2,4,3,1,4,3,3,3,1,0,0,3,2,3,Infra & Cloud,1.5,1,2
24,0,4011,Divorcé(e),Consulting,Tech Lead,0,5,4,2,1,4,2,3,4,2,3,0,0,1,5,11,2,Autre,1.0,1,3
36,1,3407,Célibataire,Commercial,Représentant Commercial,7,10,5,3,3,2,1,1,2,3,4,0,1,0,4,9,4,Infra & Cloud,1.5,0,3
34,0,11994,Célibataire,Consulting,Directeur Technique,0,13,12,6,1,3,3,2,3,3,3,0,0,0,4,7,4,Infra & Cloud,1.5,2,11
21,1,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,0,3,3,1,4,4,3,3,0,0,0,6,15,2,Infra & Cloud,1.5,0,0
